epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,462.035,0.78955,1.16422,0.60002,0.93042,0.68479,0.59169,0.66828,0.44155,0.80696,0.53626,0.65641,0.41527,1.18114,2.64555,1.29154,1.25437,0.00990991,0.00990991,0.00990991
93,466.999,0.72964,1.00707,0.5406,0.91315,0.64412,0.65287,0.63963,0.42196,0.65512,0.66149,0.65947,0.39364,1.2849,2.5953,1.51157,1.31339,0.00990892,0.00990892,0.00990892
94,471.94,0.78146,1.07126,0.56172,0.92917,0.61116,0.66998,0.64375,0.40525,0.64732,0.62539,0.65838,0.41075,1.38727,2.27651,1.65693,1.33279,0.00990793,0.00990793,0.00990793
95,476.888,0.78518,1.04226,0.57844,0.92476,0.63505,0.6501,0.66451,0.40159,0.60898,0.60061,0.63984,0.4145,1.29132,2.31577,1.67099,1.27776,0.00990694,0.00990694,0.00990694
96,481.869,0.70807,1.10677,0.5273,0.91606,0.72188,0.48041,0.60875,0.40292,0.7544,0.49451,0.62137,0.40103,1.34263,2.34742,1.73049,1.31724,0.00990595,0.00990595,0.00990595
97,486.843,0.72754,1.08044,0.5292,0.9394,0.6504,0.54859,0.62574,0.42082,0.65696,0.55408,0.62654,0.42676,1.26828,2.19521,1.6374,1.30381,0.00990496,0.00990496,0.00990496
98,491.822,0.70011,1.01207,0.53655,0.91219,0.70125,0.58066,0.66495,0.44899,0.68865,0.57656,0.64772,0.43787,1.24368,2.15842,1.60457,1.28566,0.00990397,0.00990397,0.00990397
99,496.812,0.72305,0.97664,0.54868,0.91449,0.79989,0.45335,0.65504,0.45334,0.78475,0.44637,0.63564,0.40886,1.1644,2.21312,1.40785,1.20879,0.00990298,0.00990298,0.00990298
100,501.758,0.72843,1.05531,0.56792,0.91718,0.62844,0.60407,0.6393,0.40603,0.61783,0.59545,0.622,0.41926,1.20171,2.13594,1.3742,1.25453,0.00990199,0.00990199,0.00990199
101,506.726,0.67888,1.01935,0.51412,0.90729,0.61358,0.58542,0.64422,0.4274,0.61358,0.58542,0.63954,0.42352,1.27648,2.05958,1.4238,1.29388,0.009901,0.009901,0.009901
102,511.724,0.73583,1.11745,0.53556,0.91691,0.74313,0.56034,0.66894,0.44045,0.73243,0.55172,0.656,0.42194,1.19107,2.12299,1.2612,1.25989,0.00990001,0.00990001,0.00990001
103,516.682,0.69951,1.04642,0.52315,0.91,0.81688,0.5431,0.69268,0.43602,0.80484,0.53448,0.6784,0.45767,1.20464,2.00251,1.22324,1.27294,0.00989902,0.00989902,0.00989902
104,521.657,0.71599,1.05049,0.52027,0.90091,0.73671,0.62539,0.68461,0.43405,0.72499,0.61677,0.65977,0.41048,1.24142,2.0918,1.45886,1.31073,0.00989803,0.00989803,0.00989803
105,526.621,0.72977,1.06801,0.54661,0.90972,0.71539,0.61796,0.68429,0.4621,0.70605,0.61009,0.67518,0.45223,1.20814,2.00388,1.29096,1.24548,0.00989704,0.00989704,0.00989704
106,531.59,0.7472,1.0445,0.53485,0.92227,0.71197,0.60266,0.67298,0.44236,0.62585,0.69671,0.67262,0.44194,1.19849,2.11739,1.46197,1.25263,0.00989605,0.00989605,0.00989605
107,536.541,0.70344,1.01363,0.54459,0.90191,0.7216,0.561,0.61908,0.40087,0.72572,0.5563,0.62746,0.3835,1.34331,2.34236,1.83593,1.31133,0.00989506,0.00989506,0.00989506
108,541.522,0.73714,1.01471,0.55685,0.91335,0.65974,0.55408,0.66862,0.44544,0.75909,0.49468,0.66119,0.41447,1.21851,2.17279,1.49145,1.24689,0.00989407,0.00989407,0.00989407
109,546.47,0.71055,0.96354,0.5361,0.92003,0.80514,0.55091,0.68232,0.47042,0.80514,0.55091,0.68034,0.44857,1.167,2.18286,1.27697,1.22675,0.00989308,0.00989308,0.00989308
110,551.408,0.71739,0.99406,0.5364,0.90153,0.74658,0.48276,0.61949,0.41723,0.78084,0.48638,0.6266,0.38082,1.29639,2.24602,1.54167,1.29882,0.00989209,0.00989209,0.00989209
111,556.385,0.68368,1.02351,0.52604,0.89942,0.71269,0.54175,0.62835,0.44808,0.71243,0.54105,0.63135,0.42516,1.2949,2.18132,1.43835,1.29102,0.0098911,0.0098911,0.0098911
112,561.346,0.71585,1.0552,0.52828,0.91169,0.76277,0.49459,0.60911,0.45004,0.76277,0.49459,0.62474,0.42552,1.25243,2.18075,1.45529,1.2836,0.00989011,0.00989011,0.00989011
113,566.324,0.70509,1.04518,0.53224,0.90337,0.56153,0.47082,0.52461,0.36134,0.57258,0.47944,0.53563,0.35534,1.27646,2.23347,1.84429,1.30266,0.00988912,0.00988912,0.00988912
114,571.306,0.71753,1.09597,0.55319,0.89359,0.74306,0.51176,0.60617,0.4275,0.74881,0.50541,0.60707,0.4111,1.2449,2.18926,1.58875,1.2737,0.00988813,0.00988813,0.00988813
115,576.299,0.7397,0.92944,0.52583,0.91613,0.71613,0.5627,0.66888,0.44597,0.60493,0.65125,0.65799,0.45251,1.28259,2.20306,1.50419,1.33849,0.00988714,0.00988714,0.00988714
116,581.275,0.69547,0.98019,0.53111,0.89836,0.82299,0.56092,0.66953,0.46894,0.8116,0.5523,0.67271,0.4574,1.29525,2.08349,1.56773,1.33527,0.00988615,0.00988615,0.00988615
117,586.276,0.71292,0.945,0.53191,0.91214,0.80071,0.54524,0.66022,0.43832,0.86656,0.54102,0.66661,0.44471,1.2503,2.02853,1.63937,1.29449,0.00988516,0.00988516,0.00988516
118,591.25,0.65092,0.97877,0.50007,0.89531,0.69893,0.60432,0.66197,0.44799,0.7211,0.62697,0.66443,0.44797,1.26036,1.95925,1.61319,1.31639,0.00988417,0.00988417,0.00988417
119,596.235,0.70254,0.96584,0.5092,0.90787,0.72379,0.59953,0.65371,0.44997,0.73717,0.59953,0.65408,0.43538,1.22512,1.93026,1.5484,1.23718,0.00988318,0.00988318,0.00988318
120,601.2,0.66279,0.96358,0.49324,0.89129,0.71504,0.62268,0.6619,0.44818,0.72587,0.6313,0.65977,0.43526,1.2597,1.94893,1.43914,1.22817,0.00988219,0.00988219,0.00988219
121,606.179,0.6996,0.96853,0.51973,0.898,0.66999,0.63399,0.66424,0.44789,0.67901,0.64261,0.66528,0.43121,1.18548,1.95262,1.3787,1.22373,0.0098812,0.0098812,0.0098812
122,611.15,0.64718,0.94029,0.50745,0.88924,0.64679,0.62533,0.66585,0.45745,0.64746,0.62462,0.6681,0.41922,1.22982,2.08903,1.39567,1.26025,0.00988021,0.00988021,0.00988021
123,616.131,0.69821,1.01697,0.54813,0.91502,0.67613,0.59718,0.62884,0.41518,0.67677,0.62695,0.66047,0.40418,1.31577,2.17154,1.40367,1.32423,0.00987922,0.00987922,0.00987922
124,621.114,0.66485,0.9119,0.53844,0.88938,0.6781,0.61055,0.67006,0.43961,0.7105,0.64038,0.7,0.43623,1.2833,2.08121,1.38773,1.29724,0.00987823,0.00987823,0.00987823
